molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
3618,MOL003618,lbh_scz_Molecule84.mol2,Isopinocamphone,50.43476482,152.260,1.771,1.29989,1.65297,11.2661,0,1,0.06093,0.2719782
39,MOL000039,fyp_bz_Molecule3.mol2,"(1S,2R,4R)-Neoiso-dihydrocarveol",52.3950187368,154.280,2.583,1.38366,1.69238,11.455076,1,1,0.029275,0
3948,MOL003948,lbh_wzy_Molecule130.mol2,Cuminol,42.5696422073,150.240,2.420,1.19885,1.23718,1.577471,1,1,0.028497,0.30136359
3975,MOL003975,lbh_wzy_Molecule21.mol2,"icosa-11,14,17-trienoic acid methyl ester",44.8136171923,320.570,7.110,1.51969,1.07483,5.386681,0,2,0.23355,0.21099587
4480,MOL004480,lbh_zl_Molecule36.mol2,acetic acid,47.865213456,60.060,-0.230,0.41751,0.72176,12.2064,1,2,0.0016949,0.29336038
449,MOL000449,fyp_htp_Molecule484.mol2,Stigmasterol,43.8298515785,412.770,7.640,1.44458,1.00045,5.574595,1,1,0.75665,0.21679397
4788,MOL004788,lh_dh_Molecule388.mol2,1-alpha-Terpinyl acetate,28.9727687467,196.320,2.794,1.33783,1.59274,,0,2,0.051341,0.23321761
479,MOL000479,fyp_jxt_Molecule314.mol2,Farnesene,17.4180687339,204.390,5.515,1.95385,2.20961,,0,0,0.047569,0
5021,MOL005021,lh_gc_Molecule99.mol2,Mipax,57.3971065901,194.200,1.541,0.64014,0.62635,5.562648,0,4,0.055942,0
520,MOL000520,fyp_llt_Molecule96.mol2,alpha-amyrin,10.2789795019,426.800,7.349,1.44033,1.26291,,1,1,0.76228,0.22810183
5479,MOL005479,lh_szy_Molecule2552.mol2,pentatriacont-17-ene,13.1862103668,491.050,15.894,2.01010,1.58452,,0,0,0.43259,0.16355488
570,MOL000570,fyp_lxc_Molecule51.mol2,Nonox D,39.8217186828,219.300,4.289,1.88086,1.61329,4.998001,1,1,0.13135,0.45780665
5796,MOL005796,lmm_bz_Molecule041.mol2,Lignocerol,11.2709364223,354.740,10.095,1.42011,0.85765,,1,1,0.28344,0.16118231
597,MOL000597,fyp_pl_Molecule217.mol2,Neryl acetate,57.4658718451,196.320,3.313,1.24994,1.39905,7.918999,0,2,0.041454,0.26890948
608,MOL000608,fyp_pl_Molecule244.mol2,()-Terpinen-4-ol,81.4066718802,154.280,2.550,1.36161,1.66275,10.805992,1,1,0.032323,0.2544488
612,MOL000612,fyp_pl_Molecule250.mol2,(-)-alpha-cedrene,55.56099313,204.390,4.123,1.80954,2.16397,4.82374,0,0,0.10498,0.24176702
6292,MOL006292,lp_cp_Molecule140.mol2,δ-selinene,19.0103450648,204.390,4.894,1.86319,2.05984,,0,0,0.080616,0.23136747
635,MOL000635,fyp_qg_Molecule533.mol2,vanillin,51.9960077723,152.160,1.306,0.67780,0.41159,11.793384,1,3,0.032596,0.32594272
6731,MOL006731,lp_sqh_Molecule15.mol2,Areginal,44.3322731047,74.090,0.323,0.97433,1.18124,11.836,0,2,0.002464,0.27224317
675,MOL000675,fyp_qjb_Molecule293.mol2,oleic acid,33.12836481,282.520,6.835,1.16896,0.77767,4.986206,1,2,0.14243,0.19616304
676,MOL000676,fyp_qjb_Molecule295.mol2,DBP,64.5416405,278.380,4.198,0.8008,0.55504,5.40558,0,4,0.13409,0.34491694
69,MOL000069,fyp_bz_Molecule59.mol2,palmitic acid,19.2965647018,256.480,6.368,1.09151,0.99862,,1,2,0.098573,0
696,MOL000696,fyp_qnj_Molecule322.mol2,β-terpineol,47.8883639354,154.280,2.469,1.28646,1.48026,11.220544,1,1,0.031028,0.27832165
700,MOL000700,fyp_qnj_Molecule344.mol2,Nerol,35.657426855,154.280,2.934,1.14817,1.13744,6.747114,1,1,0.02013,0.29012242
710,MOL000710,fyp_sjs_Molecule549.mol2,OYA,19.0682132399,128.240,2.765,1.30183,1.51674,,0,1,0.011222,0.22505136
7180,MOL007180,lxx_gl_Molecule1578.mol2,vitamin-e,32.2864280278,490.690,3.782,0.38372,-0.57835,0.039366,3,9,0.69563,0.32986006
7243,MOL007243,lxx_jgy_Molecule1124.mol2,santalol,40.1744555635,220.390,3.663,1.22963,1.11870,1.217457,1,1,0.088175,0.25268885
748,MOL000748,fyp_tswlx_Molecule581.mol2,HMF,45.0661024854,126.120,0.672,0.05326,-0.26608,11.7281,1,3,0.019427,0.21778123
7512,MOL007512,lxx_sr_Molecule1760.mol2,1-methyl-6-isopropylienebicyclo[3.1.0] hexane,45.6572763058,136.260,3.067,1.81818,2.09118,11.903192,0,0,0.045601,0.24415851
7513,MOL007513,lxx_sr_Molecule1761.mol2,1-Pentacosanol,11.120133472,368.770,10.551,1.43696,0.96699,,1,1,0.31792,0.14144072
7514,MOL007514,lxx_sr_Molecule1766.mol2,"methyl icosa-11,14-dienoate",39.6670588034,322.590,7.554,1.47306,1.09756,5.236929,0,2,0.22908,0.18299116
7515,MOL007515,lxx_sr_Molecule1768.mol2,14-pentadecenoic acid,36.3873141272,240.430,5.521,1.08165,0.92655,5.916591,1,2,0.083763,0.22515053
7516,MOL007516,lxx_sr_Molecule1770.mol2,"L-()-2,3-Butanediol",33.7823611163,90.140,-0.142,0.22934,0.08815,11.2314,2,2,0.0056503,0.26848647
7517,MOL007517,lxx_sr_Molecule1771.mol2,"(1S)-bornane-2,5-dione",57.761704444,166.240,0.584,0.52677,0.61397,11.4654,0,2,0.063151,0.3352789
7518,MOL007518,lxx_sr_Molecule1772.mol2,Rikacid SA,80.9040010744,100.080,-0.145,0.28469,0.16385,11.6884,0,3,0.011653,0.38708562
7519,MOL007519,lxx_sr_Molecule1773.mol2,"(1S,2S,4R)-2-methyl-3-methylene-2-(4-methylpent-3-enyl)norbornane",19.7674204617,204.390,4.753,1.86585,2.07539,,0,0,0.074782,0.28523636
7520,MOL007520,lxx_sr_Molecule1774.mol2,trans-beta-Santalol,40.4268590227,220.390,3.663,1.25043,1.20845,1.522597,1,1,0.088192,0.25586066
7521,MOL007521,lxx_sr_Molecule1775.mol2,"2-ethenyl-1,1-dimethyl-3-methylene-cyclohexane",45.1543921128,150.290,3.568,1.83973,2.21722,11.8275,0,0,0.033766,0.29620129
7522,MOL007522,lxx_sr_Molecule1776.mol2,2-methyl-3-butene-1-ol,80.8816495609,86.150,0.899,1.06647,1.22827,11.554,1,1,0.0045993,0.28281078
7523,MOL007523,lxx_sr_Molecule1777.mol2,AKG,22.5818750481,146.110,-0.674,-0.89778,-1.05662,,2,5,0.02279,0.42014953
7524,MOL007524,lxx_sr_Molecule1778.mol2,(E)-dodec-3-en-1-yne,18.3429845389,164.320,5.586,1.91868,2.11371,,0,0,0.025618,0.33554113
7525,MOL007525,lxx_sr_Molecule1780.mol2,(E)-icos-3-ene,18.1873741005,280.600,9.051,1.89414,1.92103,,0,0,0.13192,0.1847942
7526,MOL007526,lxx_sr_Molecule1787.mol2,"7,10,13-Hexadecatrienoic acid, methyl ester",17.6705472644,264.450,5.285,1.45260,1.26061,,0,2,0.12167,0.23768407
7527,MOL007527,lxx_sr_Molecule1788.mol2,9-cedranone,63.3607048682,220.390,3.021,1.34570,1.56794,5.3547,0,1,0.12026,0.25267583
7528,MOL007528,lxx_sr_Molecule1795.mol2,cubenol,57.9081912434,222.410,3.914,1.44566,1.57812,5.429883,1,1,0.094743,0.22601523
7529,MOL007529,lxx_sr_Molecule1796.mol2,cyclosativene,14.9637347084,204.390,3.593,1.77744,2.07222,,0,0,0.14651,0.24357943
7530,MOL007530,lxx_sr_Molecule1802.mol2,Heptacosanol,10.82455372,396.830,11.463,1.43039,0.63218,,1,1,0.38336,0.15190674
7531,MOL007531,lxx_sr_Molecule1806.mol2,isopulegyl acetate,29.6544586308,196.320,2.962,1.33247,1.61744,,0,2,0.049912,0.24385227
7532,MOL007532,lxx_sr_Molecule1807.mol2,L-Milchsaeure,44.5471577612,90.090,-0.311,-0.23857,-0.48480,11.7049,2,3,0.0062742,0.37412804
7533,MOL007533,lxx_sr_Molecule1820.mol2,santalyl acetate,24.599710717,262.430,4.042,1.30434,1.24345,,0,2,0.13703,0.25449702
7534,MOL007534,lxx_sr_Molecule1821.mol2,sesquicineole,47.4700839761,222.410,4.054,1.64772,1.78190,2.684436,0,1,0.09094,0.24583966
7535,MOL007535,lxx_sr_Molecule1824.mol2,"(5S,8S,9S,10R,13R,14S,17R)-17-[(1R,4R)-4-ethyl-1,5-dimethylhexyl]-10,13-dimethyl-2,4,5,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,6-dione",33.1153996,428.770,6.656,0.89780,0.43613,6.55838,0,2,0.78802,0.25027192
7536,MOL007536,lxx_sr_Molecule1825.mol2,"Stigmasta-5,22-dien-3-beta-yl acetate",46.4419022461,454.810,8.019,1.40909,1.09617,5.680758,0,2,0.85691,0.22111183
7537,MOL007537,lxx_sr_Molecule1830.mol2,viridiflorine,34.05101014,285.430,1.205,0.18645,-0.05806,0.062866,2,5,0.15002,0.21935056
7538,MOL007538,lxx_sr_Molecule1832.mol2,agarospirol,39.4193991262,222.410,3.666,1.34107,1.49028,7.214927,1,1,0.087076,0.25417599
7539,MOL007539,lxx_sr_Molecule1834.mol2,amomumoside,14.6197518117,332.440,-0.941,-0.97506,-1.58913,,5,7,0.27037,0.21593656
